weapon,name,group,field,heroField,meaning,baseline,current,referencePath,referenceValue,conversion,consumer,status,reason,source
1,标准射击枪,metadata,id,id,英雄 ID,1,1,无直接字段,待核实（覆盖中缺失，不等于零）,不适用,GameplayConfig.Validate / PrototypePlayer.Equipment / WeaponDisplay,项目配置,项目标识/资源，不属于原作玩法数值,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,metadata,name,name,英雄英文标识,"""RifleGirlRifle""","""RifleGirlRifle""",无直接字段,待核实（覆盖中缺失，不等于零）,不适用,GameplayConfig.Validate / PrototypePlayer.Equipment / WeaponDisplay,项目配置,项目标识/资源，不属于原作玩法数值,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,metadata,prefabAddress,weaponPrefabAddress,模型：正式武器地址,"""Weapon/RifleGirlRifle""","""Weapon/RifleGirlRifle""",无直接字段,待核实（覆盖中缺失，不等于零）,不适用,GameplayConfig.Validate / PrototypePlayer.Equipment / WeaponDisplay,项目配置,项目标识/资源，不属于原作玩法数值,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,firing,fireRate,fireRate,发射：权威射速（发/秒）,10,10,GameParameters.WeaponParam.RepeatFrame,待核实（覆盖中缺失，不等于零）,60 / RepeatFrame；仅配置校验；HUD 射速由实际帧间隔推导,GameplayConfig.Validate（不直接参与发射和 HUD 射速）,保留旧机制,起手/组间/蓄力状态规则及继承默认值未闭合,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,damage,damage,damage,伤害：每颗伤害,36,36,GameParameters.DamageParam.ValueMax,360,原作伤害 / 10 = 项目 HP；曲线与取整另行核实,WeaponSimulation.Damage -> InkProjectileService.Resolve -> PrototypePlayer.ReceiveDamage,保留旧机制,原始端点可读，但未取得固定版本衰减/蓄力插值及取整算法；保留整段旧曲线,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,ink,shotInk,shotInk,发射：每颗耗墨,0.92,0.92,GameParameters.WeaponParam.InkConsume,0.0092,原作整罐比例 × 100 = 项目墨点；蓄力曲线另行核实,WeaponSimulation.InkCost/Emit; ResourceSimulation.Step,数值已一致：单次耗墨,每发固定扣墨，100 点墨量映射已确认,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,ballistics,speedMin,speedMin,弹道：最低初速（米/秒）,31,31,GameParameters.MoveParam.SpawnSpeed,2.266,未确认或无一一对应关系,InkBallistics.Position/TravelTime/LaunchVelocity; InkProjectileService.Simulate/Resolve; InkPresentation.LateUpdate,保留旧机制,缺少可核实的统一空间标定和完整状态转移/碰撞规则；保留整段旧模型,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,ballistics,speedMax,speedMax,弹道：最高初速（米/秒）,31,31,GameParameters.MoveParam.SpawnSpeed,2.266,未确认或无一一对应关系,InkBallistics.Position/TravelTime/LaunchVelocity; InkProjectileService.Simulate/Resolve; InkPresentation.LateUpdate,保留旧机制,缺少可核实的统一空间标定和完整状态转移/碰撞规则；保留整段旧模型,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,ballistics,gravity,projectileGravity,弹道：墨弹重力（米/秒²）,9.8,9.8,GameParameters.MoveParam.FreeGravity,0.016,未确认或无一一对应关系,InkBallistics.Position/TravelTime/LaunchVelocity; InkProjectileService.Simulate/Resolve; InkPresentation.LateUpdate,保留旧机制,缺少可核实的统一空间标定和完整状态转移/碰撞规则；保留整段旧模型,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,标准射击枪,ballistics,lifetime,lifetime,弹道：有效寿命（秒）,1.2,1.2,无直接字段,待核实（覆盖中缺失，不等于零）,未确认或无一一对应关系,InkBallistics.Position/TravelTime/LaunchVelocity; InkProjectileService.Simulate/Resolve; InkPresentation.LateUpdate,保留旧机制,缺少可核实的统一空间标定和完整状态转移/碰撞规则；保留整段旧模型,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
