table,field,meaning,baseline,current,referencePath,referenceValue,referenceKind,conversion,consumer,status,reason,source
Character,id,角色 ID,1,1,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,项目配置,项目资源或工程参数，无需按原作逐值替换,
Character,name,角色名称,"""RifleGirl""","""RifleGirl""",未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,项目配置,项目资源或工程参数，无需按原作逐值替换,
Character,visualAddress,正式角色外观地址,"""Character/RifleGirl""","""Character/RifleGirl""",未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,项目配置,项目资源或工程参数，无需按原作逐值替换,
Character,maxHealth,生命上限,100,100,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / PrototypePlayer.ReceiveDamage / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,maxInk,墨水上限,100,100,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / WeaponSelectionRules / PrototypePlayer.Network / HUD,保留项目基线；关联机制未通过证据门槛,项目 100 点表示整罐；原作整罐比例 × 100 的换算已确认,
Character,recoverInk,普通回墨（点/秒）,10,10,InkRecoverFrm_Std[2],600.0,公开能力曲线的零能力点值,"100 × 60 / 原作回满帧数 = 点/秒；零能力点取 [High,Mid,Low] 的 Low",ResourceSimulation.Step -> PrototypeRules.Recover,数值已一致：600 帧人形回满,只确认允许回墨后的固定恢复速率，不证明所有回墨状态转移,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/misc/params.json
Character,swimRecoverInk,潜墨回墨（点/秒）,35,33.333332,InkRecoverFrm_Stealth[2],180.0,公开能力曲线的零能力点值,"100 × 60 / 原作回满帧数 = 点/秒；零能力点取 [High,Mid,Low] 的 Low",ResourceSimulation.Step -> PrototypeRules.Recover,已修改：180 帧潜墨回满,只确认允许回墨后的固定恢复速率，不证明所有回墨状态转移,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/misc/params.json
Character,moveSpeed,移动速度（米/秒）,5,5,MoveVel_Human[2],0.096,公开能力曲线的零能力点值,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,显式值仅为标准重量零能力点线索；Fast/Slow 分支、重量归类和统一空间映射未闭合,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/misc/params.json
Character,swimSpeed,潜墨速度（米/秒）,8,8,MoveVel_Stealth[2],0.192,公开能力曲线的零能力点值,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,显式值仅为标准重量零能力点线索；Fast/Slow 分支、重量归类和统一空间映射未闭合,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/misc/params.json
Character,enemyInkMultiplier,敌方墨水速度倍率,0.55,0.55,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,jumpSpeed,起跳速度（米/秒）,7,7,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,gravity,角色重力（米/秒²）,22,22,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,shootMoveSpeed,射击移动速度（米/秒）,3.6,3.6,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,moveAcceleration,人形加减速度（米/秒²）,40,40,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,swimAcceleration,潜墨加减速度（米/秒²）,50,50,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,wallSwimSpeed,墙游速度（米/秒）,4,4,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,wallGraceSeconds,墙面接缝接触容错（秒）,0.1,0.1,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,wallProbeDistance,角色表面探测距离（米）,0.6,0.6,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,wallJumpSpeed,脱墙跳跃外推速度（米/秒）,4,4,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,mantleSeconds,墨水形态翻越时长（秒）,0.25,0.25,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,PlayerMotorSimulation.Step / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,healthRecoverDelay,受伤后回血等待（秒）,1,1,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / PrototypePlayer.ReceiveDamage / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,healthRecoverRate,普通回血（HP/秒）,30,30,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / PrototypePlayer.ReceiveDamage / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,swimHealthRecoverRate,己方潜墨回血（HP/秒）,60,60,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / PrototypePlayer.ReceiveDamage / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,enemyInkDamageRate,敌墨伤害（HP/秒）,20,20,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / PrototypePlayer.ReceiveDamage / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Character,enemyInkHealthFloor,敌墨非致死生命下限（HP）,60,60,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,ResourceSimulation.Step / PrototypePlayer.ReceiveDamage / GameplayConfig.Validate,保留项目基线；关联机制未通过证据门槛,未取得固定版本算法、默认值和完整单位依据；不能把缺失当成零,
Global,id,唯一全局记录 ID，固定 1,1,1,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,defaultModeId,默认房间模式 ID,1,1,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,networkTickRate,网络频率（Hz）,30,30,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,projectileStepRate,弹道子步频率（Hz）,120,120,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,defaultPort,默认 UDP 端口,7777,7777,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
